Layer,Name,GEOID,Population,Longitude,Latitude,POP_2018-2022,POP_2018-2022_moe,PCT-W_2018-2022,PCT-W_2018-2022_moe,HDAL_2022,HDAL_2022_moe,HDALR_2022,HDALR_2022_moe,EDB_2018-2022,EDB_2018-2022_moe,UMP_2018-2022,UMP_2018-2022_moe,HDDIA_2022,HDDIA_2022_moe,HDDIAR_2022,HDDIAR_2022_moe,FAI_2022,FAI_2022_moe,LFA_2019,LFA_2019_moe,UNI_2018-2022,UNI_2018-2022_moe,UNS_2018-2022,UNS_2018-2022_moe,SNP_2018-2022,SNP_2018-2022_moe,SNQ_2018-2022,SNQ_2018-2022_moe
(Indicator name),,,,,,"Population (residents), 2018-2022",(90% margin of error),"Demographics, Non-Hispanic White (% of residents), 2018-2022",(90% margin of error),"Alcohol-related hospitalizations (count of hospitalizations), 2022",(90% margin of error),"Alcohol-related hospitalization rate (per 10,000 population), 2022",(90% margin of error),"High school graduation rate (% of residents), 2018-2022",(90% margin of error),"Unemployment rate (%), 2018-2022",(90% margin of error),"Diabetes-related hospitalizations (count of hospitalizations), 2022",(90% margin of error),"Diabetes-related hospitalization rate (per 10,000 population), 2022",(90% margin of error),"Food insecurity (% of residents), 2022",(90% margin of error),"Low food access (% of residents), 2019",(90% margin of error),"Uninsured residents (residents), 2018-2022",(90% margin of error),"Uninsured rate (% of residents), 2018-2022",(90% margin of error),"Food stamps (SNAP) (% of households), 2018-2022",(90% margin of error),"Households in poverty not receiving food stamps (SNAP) (% of households below the poverty line), 2018-2022",(90% margin of error)
(Definition),,,,,,"Average population over the time period.",,"Percent of residents within each demographic group. Use this topic to explore age, gender, and racial/ethnic breakdowns.",,"Number of inpatient hospitalization discharges due to alcohol-relateddisease, injury or conditions.",,"Age-adjusted rate of alcohol-related hospitalization discharges, excluding discharges to Veterans Administration hospitals.",,"Residents 25 or older with at least a high school degree: including GED and any higher education",,"Percent of residents 16 and older in the civilian labor force who are actively seeking employment.",,"Number of inpatient hospitalization discharges, excluding discharges to Veterans Administration hospitals, due to diabetes mellitus with or without related complications.",,"Age-adjusted rate of diabetes-related hospitalization discharges, excluding discharges to Veterans Administration hospitals.",,"Percentage of the population experiencing food insecurity at some point. Food insecurity is the household-level economic and social condition of limited or uncertain access to adequate food, as represented in USDA food-security reports. 2020 data is a projection based on 11.5% national unemployment and 16.5% national poverty rate.",,"Percent of residents who have low access to food, defined solely by distance: further than 1/2 mile from the nearest supermarket in an urban area, or further than 10 miles in a rural area.",,"Number of residents without health insurance.",,"Percent of residents without health insurance (at the time of the survey).",,"Percent of households receiving Supplemental Nutrition Assistance Program (SNAP) benefits, formerly known as food stamps, over the past 12 months.",,"Percent of households with income in the past 12 months below the poverty level who did not receive food stamps/SNAP in the past 12 months.",
(Citation),,,,,,"American Community Survey (ACS: Table B01001; Decennial Census: Table P012)",,"American Community Survey (Table B01001)",,"Illinois Department of Public Health, Hospital Discharge Data",,"Illinois Department of Public Health, Hospital Discharge Data",,"American Community Survey (Table B15002)",,"American Community Survey (Tables B23025, B23001, and C23002)",,"Illinois Department of Public Health, Hospital Discharge Data",,"Illinois Department of Public Health, Hospital Discharge Data",,"Map the Meal Gap (Map the Meal Gap 2020)",,"USDA, Economic Research Service, Food Access Research Atlas (Food Access Research Atlas)",,"American Community Survey (Tables B27001/C27001)",,"American Community Survey (Tables B27001/C27001)",,"American Community Survey (Tables B22003, B22005, and S2201)",,"American Community Survey (Table B22003)",
---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Zip code,60617,60617,77270,-87.55204900,41.71820100,83188.0,3582.0000000000005,5.511612251767082,0.7318220602752201,89.0,,10.9,1.930357142931,82.32084660734557,0.8863522652074369,12.13840190969994,1.7830981153140828,219.0,,24.5,2.8116071429075,16.6,,35.62543300537406,,8727.0,891.7365081681921,10.501173214608023,0.9733586813034952,30.314129215336894,2.531115863950416,31.300448430493272,3.5457270250883703
Zip code,60618,60618,90316,-87.70254800,41.94696100,92235.0,3549.0,49.00959505610668,1.5559821963652167,186.0,,18.7,2.3080357143025,89.24740874267688,4.315732822411986,4.74295362139067,0.7168876715813923,119.0,,14.2,2.182142857069,11.4,,4.639826436049404,,9680.0,952.9742913636234,10.516023900054318,0.9528265232937688,8.815434430652996,1.1200595242631897,65.90690208667736,5.541097693531567
Zip code,60619,60619,63303,-87.60552300,41.74369300,60443.0,2868.0,1.153152556954486,0.4533384207168785,87.0,,12.9,2.3919642857915,89.79151689432064,1.0392967288985302,15.810028593346818,2.245006082045841,223.0,,32.0,3.692857142884,18.5,,43.82248598216439,,5558.0,690.8263168119754,9.205492157609688,1.056766083833402,34.01416218909013,2.437667001788899,32.43605196196599,4.100385123447689
Zip code,60620,60620,66514,-87.65255800,41.74049700,68330.0,2947.0,1.2322552319625348,0.376776608813358,89.0,,13.9,2.5178571428605,86.42173216065162,2.164998033470921,17.29325730485487,2.038553831866231,267.0,,34.2,3.5669642856505006,17.9,,30.624121744707033,,6097.0,741.3568641349455,8.966308328063647,1.0185435305993094,35.590822179732314,2.456604950157537,32.924512005527724,4.601869146937519
Zip code,60621,60621,29570,-87.63957100,41.77638200,26997.0,1706.9999999999998,1.4520131866503685,0.6379435138719785,40.0,,13.0,3.5250000000705,80.70031234588197,3.2339655011018773,19.516156607967176,3.456259325932528,118.0,,39.1,6.084821428511001,25.4,,17.762690411204815,,3433.0,565.2839994197607,12.925938476599269,1.9593685300512,50.431111909466495,4.365147764174087,24.76780185758514,5.951800687690077
Zip code,60622,60622,55075,-87.68333700,41.90217200,53944.0,2012.0,63.197019130950615,2.426852979825457,88.0,,16.6,3.1473214285345,94.18052534325076,5.017742112853541,3.3008096325513803,0.804298965680482,84.0,,23.9,4.4482142857915,10.9,,0.10811634072038666,,2653.0,390.9616349464484,4.947503869608191,0.7051131016404507,7.621173469387756,1.1347752510046698,60.67136344799005,7.890797709800355
Zip code,60623,60623,87649,-87.71766100,41.84889700,76611.0,3211.0,3.678322956233439,1.1185056485184786,178.0,,21.8,2.6857142856740004,67.79508932213068,2.2462636481832083,10.903623515260865,1.5626798948586702,233.0,,29.3,3.2312500000235,21.3,,10.140262623698217,,13937.0,1149.939563629324,18.220206034618,1.2942375058068072,27.74069129209316,2.1343695611882656,45.93768200349447,6.204602777809877
Zip code,60624,60624,37547,-87.72444400,41.88050400,35664.0,2232.0,3.992821893225662,1.2710938581950724,59.0,,16.5,3.5669642856505006,75.417818133965,3.108871559320802,18.808903148185284,3.063394874235856,149.0,,43.3,5.958928571442001,25.6,,19.399467424356843,,3967.0,653.3712574027112,11.232868954581493,1.709232292596069,49.52088636023357,3.4437302569769783,28.708516593362653,7.181844329225138
Zip code,60625,60625,76525,-87.70036200,41.97307600,80296.0,2802.0,45.16663345621201,1.3569830462979964,147.0,,17.6,2.4339285713715,86.4129571799079,0.9580162399401947,6.441321379533156,1.15346136496509,105.0,,13.6,2.2241071428134997,14.3,,8.496329414610763,,12038.0,1242.4604621475887,15.155482815057283,1.4702274329605796,10.747902926298265,1.2912907202453927,62.95652173913043,5.917353982803056
Zip code,60626,60626,50548,-87.66709500,42.01001900,50135.0,3084.0,47.31624613543433,1.5574146036196197,107.0,,19.2,3.10535714279,89.88306921960796,6.431031447782577,5.729997623816152,1.1628678360867502,86.0,,17.1,3.1473214285345,15.5,,6.058705321418358,,6569.0,910.1219698479981,13.53512043351946,1.6698338553076257,16.261722080136405,2.7893584759734966,60.39580352885074,5.057874248568878
Zip code,60628,60628,62832,-87.61577300,41.69087500,61419.0,2772.0,2.481316856347384,0.5388031686510176,89.0,,12.8,2.350000000047,86.60507548393073,2.0109652668258207,18.185019544318063,2.5593918309207195,239.0,,33.4,3.7348214286285,18.0,,69.31348711767912,,6707.0,851.178594655669,10.970084561409248,1.300256100624207,31.698954225955767,2.513061461158228,36.44510828976848,4.822780789184157
Zip code,60629,60629,114453,-87.71149600,41.77586800,108997.0,4538.0,6.765323816251824,0.8548142208446919,200.0,,18.6,2.182142857069,74.789121474894,1.8432663789129848,13.843698918035338,1.4600067877683804,225.0,,21.0,2.350000000047,18.4,,24.50430392452031,,15319.0,1329.4653060535277,14.056707652780323,1.070320010013641,25.563932002956392,2.1677364324286112,43.23622193356838,6.331312772271085
Zip code,60630,60630,54064,-87.75656900,41.97207100,55295.0,2603.0,54.601681888054976,2.200558298247696,97.0,,16.0,2.7276785714185,91.16720807399508,5.53891884682016,5.330006804264006,1.1742639965376322,62.0,,8.9,1.8883928571865,11.3,,11.883498025831853,,4465.0,580.1629081559764,8.075601374570446,0.9780667993615929,10.042174320524836,1.9083061935682841,69.67528893780958,5.084003307565245
Zip code,60631,60631,29691,-87.81300200,41.99485600,30418.0,1687.0000000000002,74.35071339338549,2.095754583502913,59.0,,18.5,4.1125,95.19505671862032,2.336283616018565,3.7739427271003225,1.344877096917074,38.0,,9.3,2.5178571428605,9.7,,55.26843453340182,,967.0,346.9567696414065,3.2259140645850013,1.1431216016118717,3.9325373632796192,1.772205312967123,93.87387387387388,33.4820898443661
Zip code,60632,60632,92237,-87.71325200,41.81016600,86372.0,4703.0,8.564118001204093,0.8836733229603297,140.0,,15.4,2.1401785714890003,71.28655500226347,0.553637084624915,11.685888738127543,1.475620192225945,143.0,,17.1,2.4339285713715,17.599999999999998,,19.80122505576323,,13245.0,1124.0471520358922,15.384883437293098,1.0000841756902876,22.616457880129023,2.7613301951761438,60.28086910439852,7.244490398037314
Zip code,60633,60633,13359,-87.56131400,41.66378300,12440.0,1064.0,28.42443729903537,5.779583210706687,24.0,,13.9,4.8678571429075,83.80974695407684,5.718401529431397,12.017235876157038,4.243950434405256,18.0,,12.0,4.7839285714185,13.5,,54.05136457378415,,1296.0,326.79504280205964,10.650012326403155,2.518534933385276,20.137345990708948,4.816311102192684,50.58139534883721,13.231469140231056
Zip code,60634,60634,75694,-87.80611700,41.94618900,75873.0,2926.0,47.92086776587192,2.148138587022732,130.0,,15.3,2.2660714285580004,87.19910846953938,0.8946833924291608,4.71662138328805,0.8034824239786376,130.0,,14.5,2.1401785714890003,11.1,,32.85229413062596,,8152.0,798.2787733617874,10.77181252394984,0.9693062346465022,8.014406286379511,1.4253221217962664,81.60258713618398,9.212367536920087
Zip code,60636,60636,34800,-87.66906400,41.77573900,29833.0,1713.0,1.0692856903429089,0.519293813461065,55.0,,17.0,3.818749999953,77.11519364448858,2.455545756685341,20.71399261386951,2.8555015428889385,132.0,,38.1,5.539285714326,23.5,,60.11652688828123,,4402.0,554.2535520860467,14.763885162328952,1.653856195138758,41.61814010940533,2.5387164282128305,39.71870604781997,9.616930647713502
Zip code,60637,60637,53555,-87.59987600,41.78162100,51145.0,2472.0,14.90663799002835,1.049310582482528,74.0,,15.0,2.9374999999764997,89.74941594393061,2.3118374783238407,14.901037945959574,2.1595160754512155,109.0,,22.8,3.6508928571395,22.5,,34.92423847693201,,4010.0,655.0183203544768,7.898209607847,1.2315450079968708,32.96964798850575,2.437439175300243,43.64304907368123,7.145108741211059
Zip code,60638,60638,56928,-87.77052100,41.78143000,57799.0,2891.0,39.34670150002596,2.110683642055444,118.0,,19.8,3.0214285714655,84.91586538461539,1.772656748191683,6.05859076247797,1.6374306231139182,112.0,,17.7,2.8116071429075,10.7,,53.18344150755955,,4330.0,518.0588769628408,7.491479091333759,0.8142272676239616,9.979653134386202,2.14215400951907,62.28893058161351,8.638841674526565
Zip code,60639,60639,89543,-87.75605400,41.92055300,85248.0,3397.0,9.719876126126126,1.4895042438613004,156.0,,17.6,2.350000000047,70.50578803500339,1.4120429016354898,5.977449043511782,0.9807440334306529,221.0,,25.7,2.9374999999764997,15.6,,0.2659950814132244,,14264.0,1084.945620757096,16.778807697736788,1.0862889202947277,22.611931882260063,2.499244455676117,48.31460674157304,4.855220911671938
Zip code,60640,60640,65941,-87.66260400,41.97287200,67317.0,2212.0,55.37977034033008,1.2936579535093342,184.0,,24.0,2.9794642857210003,92.16149842386922,1.6757925878471007,5.150011279043537,0.8582189059040446,123.0,,16.4,2.4339285713715,16.400000000000002,,1.1786462221642766,,5518.0,749.7652966095457,8.354403548880377,1.1002404872981684,13.498882275310404,1.5830335228839396,54.94263712085494,5.006078550843928
Zip code,60641,60641,69354,-87.74678700,41.94660600,68968.0,2578.0,35.36567683563392,1.0929977417194738,125.0,,16.8,2.475892857116,83.29658443233349,1.3419709311016927,6.472862302253421,0.9364136270924588,109.0,,15.3,2.475892857116,14.000000000000002,,23.614373011488457,,10011.0,808.4287228939852,14.561242745560063,1.0415343856163672,14.73339195779039,1.847222675538153,56.5425023877746,3.48365500096142
Zip code,60642,60642,21687,-87.65854400,41.90204200,21444.0,1285.0,63.65883230740533,1.7723877287621748,34.0,,15.9,5.119642857210001,96.62859044027948,0.6818110543388669,3.9052268127158,1.5737620429907822,18.0,,14.6,5.9169642856975,10.1,,1.1686222208938004,,952.0,281.5776979805041,4.441955953714072,1.2865421041672065,6.501267656646142,2.1335015895615705,67.00251889168766,9.235690780280894
Zip code,60643,60643,47831,-87.66326700,41.70027300,48270.0,2735.0,22.291278226641804,2.0347261498531664,63.0,,11.8,2.5598214286050003,92.70042570926736,0.3999737616910667,10.313298955670149,1.7613790035222698,156.0,,27.2,3.818749999953,10.3,,48.39550440429325,,2684.0,490.58740301805534,5.630257389188396,0.977061850288204,18.17882068472825,2.284537858722212,41.68640454760777,4.577970031786232
Zip code,60644,60644,47239,-87.75637300,41.88008400,49445.0,2703.0,3.899282030538983,1.2500312387469394,70.0,,14.5,2.895535714232,83.7143567124309,2.741669365763885,18.811006786278703,2.9926843879338128,182.0,,38.3,4.7839285714185,23.1,,23.84810253238133,,5269.0,787.0559065276112,10.825081152155152,1.5010086409175882,44.13428894756696,3.9946406894749065,32.43917654398004,6.666866581827927
Zip code,60645,60645,48356,-87.69473500,42.00855800,48692.0,2752.0,42.60248090035324,3.271755922937459,55.0,,11.9,2.6437499999294998,85.72678688627059,2.1119427051616078,6.519933554817276,1.3557583383646803,81.0,,15.0,2.769642857163,14.2,,13.29545805918276,,6642.0,885.1039486975527,13.773796192609185,1.6578258905204473,16.441176470588236,2.4107922539381548,64.43498452012383,10.407867711102298
Zip code,60646,60646,28383,-87.75962700,41.99301900,28770.0,1537.0,70.22940563086549,2.2184363704379173,43.0,,14.8,3.9026785714420003,94.48477466504262,7.874154310660962,4.182793508521763,1.3547807624305823,25.0,,8.0,2.769642857163,9.4,,18.036806020167216,,1544.0,399.6460934376815,5.406919736657796,1.3689243886377225,6.866555617249675,1.858777705581551,72.61306532663316,12.510584631871149
